Date,AAPL,ADSK,EBAY,FB,GOOGL,INTC,INTU,NFLX,ORCL
2013-01-02,78.43285369873047,36.939998626708984,22.55471420288086,28.0,361.98699951171875,21.3799991607666,61.95000076293945,13.144286155700684,34.689998626708984
2013-01-03,77.44285583496094,36.369998931884766,22.074914932250977,27.770000457763672,362.19720458984375,21.31999969482422,61.7400016784668,13.798571586608887,34.310001373291016
2013-01-04,75.28571319580078,36.36000061035156,22.213804244995117,28.760000228881836,369.3543395996094,21.15999984741211,62.220001220703125,13.71142864227295,34.61000061035156
2013-01-07,74.84285736083984,36.09000015258789,22.52104377746582,29.420000076293945,367.74273681640625,21.25,62.290000915527344,14.171428680419922,34.43000030517578
2013-01-08,75.0442886352539,36.29999923706055,22.171716690063477,29.059999465942383,367.01702880859375,21.09000015258789,61.619998931884766,13.880000114440918,34.439998626708984
2013-01-09,73.87142944335938,36.66999816894531,22.205387115478516,30.59000015258789,369.429443359375,21.450000762939453,62.15999984741211,13.701428413391113,34.459999084472656
2013-01-10,74.78713989257812,36.52000045776367,22.306396484375,31.299999237060547,371.1111145019531,21.799999237060547,62.40999984741211,14.0,34.90999984741211
2013-01-11,74.32857513427734,36.79999923706055,22.601009368896484,31.719999313354492,370.3653564453125,22.0,62.619998931884766,14.470000267028809,34.86000061035156
2013-01-14,71.67857360839844,36.83000183105469,22.38215446472168,30.950000762939453,361.98699951171875,22.0,62.68000030517578,14.778571128845215,34.959999084472656
2013-01-15,69.41714477539062,36.709999084472656,22.100168228149414,30.100000381469727,362.82781982421875,21.8799991607666,62.95000076293945,14.527142524719238,34.70000076293945
2013-01-16,72.29856872558594,36.72999954223633,22.26430892944336,29.850000381469727,357.95294189453125,22.110000610351562,62.95000076293945,13.925714492797852,34.63999938964844
2013-01-17,71.81143188476562,37.33000183105469,22.7988224029541,30.139999389648438,356.0160217285156,22.68000030517578,63.63999938964844,13.95714282989502,34.619998931884766
2013-01-18,71.42857360839844,37.5,22.815656661987305,29.65999984741211,352.60760498046875,21.25,63.68000030517578,14.167142868041992,35.11000061035156
2013-01-22,72.11000061035156,36.54999923706055,22.462121963500977,30.729999542236328,351.7867736816406,21.170000076293945,63.779998779296875,13.972857475280762,34.93000030517578
2013-01-23,73.43000030517578,36.86000061035156,22.46632957458496,30.81999969482422,371.1211242675781,21.110000610351562,63.66999816894531,14.751428604125977,34.689998626708984
2013-01-24,64.35713958740234,37.599998474121094,23.22811508178711,31.079999923706055,377.48248291015625,20.950000762939453,63.81999969482422,20.979999542236328,34.939998626708984
2013-01-25,62.84000015258789,38.9900016784668,23.79208755493164,31.540000915527344,377.21221923828125,20.959999084472656,63.709999084472656,24.222856521606445,35.380001068115234
2013-01-28,64.26142883300781,38.86000061035156,23.5479793548584,32.470001220703125,375.7407531738281,21.049999237060547,63.880001068115234,23.158571243286133,35.540000915527344
2013-01-29,65.4671401977539,38.86000061035156,23.425926208496094,30.790000915527344,377.21722412109375,21.280000686645508,63.880001068115234,24.15999984741211,35.779998779296875
2013-01-30,65.26142883300781,38.72999954223633,23.476430892944336,31.239999771118164,377.29229736328125,21.3700008392334,63.060001373291016,23.957143783569336,35.380001068115234
2013-01-31,65.06999969482422,38.880001068115234,23.556396484375,30.979999542236328,378.2232360839844,21.040000915527344,62.380001068115234,23.605714797973633,35.5099983215332
2013-02-01,64.8028564453125,38.939998626708984,24.078283309936523,29.729999542236328,388.1882019042969,21.360000610351562,62.900001525878906,23.542856216430664,36.209999084472656
2013-02-04,63.18857192993164,38.529998779296875,23.438552856445312,28.110000610351562,379.889892578125,21.15999984741211,62.09000015258789,24.96285629272461,35.130001068115234
2013-02-05,65.40571594238281,39.060001373291016,23.745790481567383,28.639999389648438,383.2532653808594,21.18000030517578,63.06999969482422,24.912857055664062,35.47999954223633
2013-02-06,65.3357162475586,38.709999084472656,23.615320205688477,29.049999237060547,385.470458984375,20.989999771118164,62.90999984741211,26.34428596496582,35.099998474121094
2013-02-07,66.8885726928711,38.650001525878906,23.623737335205078,28.649999618530273,387.36236572265625,20.809999465942383,62.25,25.994285583496094,34.560001373291016
2013-02-08,67.85428619384766,38.88999938964844,23.829965591430664,28.549999237060547,393.07806396484375,21.0,61.5099983215332,25.85285758972168,34.900001525878906
2013-02-11,68.56143188476562,38.88999938964844,23.7415828704834,28.260000228881836,391.6015930175781,21.030000686645508,61.41999816894531,25.412857055664062,34.959999084472656
2013-02-12,66.84285736083984,38.90999984741211,23.897306442260742,27.3700008392334,390.7407531738281,21.190000534057617,61.439998626708984,25.421428680419922,35.11000061035156
2013-02-13,66.71571350097656,38.65999984741211,24.010942459106445,27.90999984741211,391.8218078613281,21.25,61.439998626708984,26.610000610351562,34.9900016784668
2013-02-14,66.65571594238281,38.66999816894531,23.918350219726562,28.5,394.3042907714844,21.229999542236328,60.7599983215332,26.77142906188965,34.900001525878906
2013-02-15,65.73714447021484,39.0,23.863636016845703,28.31999969482422,396.8418273925781,21.1200008392334,62.06999969482422,27.072856903076172,34.810001373291016
2013-02-19,65.71286010742188,38.97999954223633,23.8552188873291,28.93000030517578,403.8288269042969,21.09000015258789,62.209999084472656,28.064285278320312,35.400001525878906
2013-02-20,64.12142944335938,38.72999954223633,23.371212005615234,28.459999084472656,396.6266174316406,20.729999542236328,61.41999816894531,26.731428146362305,35.0099983215332
2013-02-21,63.72285842895508,37.970001220703125,22.988216400146484,27.280000686645508,398.1631774902344,20.25,61.29999923706055,26.735713958740234,34.279998779296875
